ndb_no,nrfi,long_name,manufacturer,serving_size,serving_size_uom,household_serving_size,household_serving_size_uom,energy_per_serving,energy_per_serving_uom
45001576,,NON-STICK OLIVE OIL COOKING SPRAY,"Meijer, Inc.",0.25,g,0.25,SEC. SPRAY,0.0,kcal
45001579,-0.248290851712,SLICED SMOKED TURKEY BREAST,Target Stores,56.0,g,2.0,ONZ,59.9200019836,kcal
45001580,-0.36872035265,SLICED HONEY HAM WITH NATURAL JUICES,Target Stores,56.0,g,2.0,ONZ,80.0799942017,kcal
45001581,-0.36474943161,SLICED BLACK FOREST HAM,Target Stores,56.0,g,2.0,ONZ,70.0,kcal
45001582,-0.149251714349,SLICED BLACK ANGUS ROAST BEEF,Target Stores,56.0,g,2.0,ONZ,100.239997864,kcal
45001591,0.091281466186,TRADITIONAL HUMMUS,Target Stores,28.0,g,2.0,Tbsp,70.0,kcal
45001592,0.161290645599,SUN-DRIED TOMATO & BASIL HUMMUS,Target Stores,28.0,g,2.0,Tbsp,59.9200019836,kcal
45001593,0.307000666857,SPINACH & ARTICHOKE HUMMUS,Target Stores,28.0,g,2.0,Tbsp,59.9200019836,kcal
45001594,0.0762425735593,ROASTED GARLIC HUMMUS,Target Stores,28.0,g,2.0,Tbsp,70.0,kcal
45001595,0.340178251266,SPICY THREE PEPPER HUMMUS,Target Stores,28.0,g,2.0,Tbsp,59.9200019836,kcal
45001596,0.162400469184,ROASTED RED PEPPER HUMMUS,Target Stores,28.0,g,2.0,Tbsp,59.9200019836,kcal
45001597,0.0762425735593,ROASTED GARLIC HUMMUS,Target Stores,28.0,g,2.0,Tbsp,70.0,kcal
45001598,0.162400469184,ROASTED RED PEPPER HUMMUS,Target Stores,28.0,g,2.0,Tbsp,59.9200019836,kcal
45001836,0.139351248741,SHAVED PARMESAN CHEESE,Target Stores,28.0,g,0.25,cup,99.9599990845,kcal
45001839,-0.0263193175197,FROSTED SUGAR COOKIES,Target Stores,38.0,g,1.0,COOKIE,159.979995728,kcal
45001840,-0.0310808327049,WHITE FROSTED MINI SUGAR COOKIES,Target Stores,30.0,g,2.0,COOKIES,129.899993896,kcal
45001841,-0.123963959515,CHOCOLATY DIPPED GRAHAM CRACKERS,Target Stores,40.0,g,5.0,PIECES,190.0,kcal
45003027,,DOUBLE ACTING BAKING POWDER,"Wal-Mart Stores, Inc.",0.600000023842,g,0.125,tsp,0.0,kcal
45003102,-0.0888888910413,"GREAT VALUE, LOW CALORIE DRINK MIX, BLUEBERRY BERRY SPLASH","Wal-Mart Stores, Inc.",4.5,g,0.5,PACKET,14.9849996567,kcal
45003770,0.128048330545,"MARKETSIDE, PRETZEL HAMBURGER BUNS","Wal-Mart Stores, Inc.",77.0,g,1.0,BUN,200.199996948,kcal
45003771,-0.102214485407,CHOCOLATE CARAMEL COOKIE THINS,"Wal-Mart Stores, Inc.",28.0,g,3.0,COOKIES,120.119995117,kcal
45003772,-0.117947272956,"SAM'S CHOICE, WAFFLE COOKIES, CINNAMON, HONEY","Wal-Mart Stores, Inc.",32.0,g,4.0,COOKIES,140.160003662,kcal
45003991,-0.020252045244,MUFFINS,Target Stores,113.0,g,1.0,MUFFIN,389.850006104,kcal
45003993,0.730409502983,FROSTED OAT CEREAL BITES WITH MARSHMALLOWS,Target Stores,27.0,g,0.75,cup,109.890007019,kcal
45003997,0.169333651662,ANGEL HAIR DRY PASTA ENRICHED VERMICELLI PRODUCT,"Wal-Mart Stores, Inc.",56.0,g,0.625,* CIRCLE OF ANGEL HAIR,199.919998169,kcal
45004272,-0.0384135656059,WHITE CORN,Target Stores,28.0,g,12.0,CHIPS,129.919998169,kcal
45004335,-0.130918234587,"MEMBER'S MARK, CAPPUCCINO BEVERAGE MIX, FRENCH VANILLA","Wal-Mart Stores, Inc.",19.0,g,1.0,SCOOP,79.9899978638,kcal
